,X,Y,year,month,day,hr,min,sec,Hoogte_x,qual,speed(km/h_x,load(kg),tare(kg)_x,conv.facto,beltspd(m/,workwidth(_x,yield(ton/_x,totalyield,point_weig_x,totalarea(,worktime(s,loadnr,loadweight,loadbelt(m,usertare(%,tarecorrec_x,tarecorre2_x,SampleID_x,Hoogte_y,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Hoogte2,speed(km/h_y,tare(kg)_y,workwidth(_y,yield(ton/_y,point_weig_y,tarecorrec_y,tarecorre2_y,SampleID_y
177,5.835438496363491,52.661457171003704,2018,3,4.0,9.328,35.797,38.906,-4.35,4,6.399,23.706,21,30.116999999999997,0.23399999999999999,2.103,49.466,180.78400000000002,1.855,3.798,10550.987,10.0,59.353,798.049,0,49.425,180.78400000000002,192,-6.58,13.382,31.514,37.819,58.506,-4,6.399,21,2.103,49.466,1.855,49.425,180.78400000000002,192
178,5.83551601792242,52.6613805883758,2018,3,4.0,9.357000000000001,32.952,41.145,-4.35,4,6.385,23.82,21,30.116999999999997,0.235,2.15,51.246,180.158,2.011,3.785,10515.986,10.0,58.727,789.52,0,51.388999999999996,180.158,193,-6.58,13.554,32.146,38.571,59.732,-4,6.385,21,2.15,51.246,2.011,51.388999999999996,180.158,193
179,5.835593539481361,52.6613040056137,2018,3,4.0,9.271,35.34,38.938,-4.35,4,6.385,23.458000000000002,21,30.116999999999997,0.237,2.095,45.583,177.981,1.9980000000000002,3.741,10395.301,10.0,56.556000000000004,760.946,0,45.608000000000004,177.981,194,-6.57,13.445,31.916,38.608000000000004,60.065,-4,6.385,21,2.095,45.583,1.9980000000000002,45.608000000000004,177.981,194
180,5.835671061040291,52.6612274227174,2018,3,4.0,9.308,34.349000000000004,38.165,-4.35,4,6.379,24.000999999999998,21,30.116999999999997,0.235,2.1390000000000002,54.828,178.87,2.042,3.759,10445.82,10.0,57.433,772.949,0,54.716,178.87,195,-6.57,14.210999999999999,33.64,40.355,62.305,-4,6.379,21,2.1390000000000002,54.828,2.042,54.716,178.87,195
181,5.835748672531411,52.661150839687004,2018,3,4.0,9.507,29.953000000000003,32.133,-4.35,4,6.364,23.668000000000003,21,30.116999999999997,0.23399999999999999,2.149,48.571000000000005,184.09799999999998,1.874,3.866,10737.181,10.0,62.662,841.8919999999999,0,48.583999999999996,184.09799999999998,196,-6.55,14.49,34.427,40.897,62.714,-4,6.364,21,2.149,48.571000000000005,1.874,48.583999999999996,184.09799999999998,196
182,5.83582628402256,52.6610742565224,2018,3,4.0,9.377,32.13,25.818,-4.35,4,6.403,23.869,21,30.116999999999997,0.235,2.134,52.696000000000005,180.042,1.923,3.783,10512.264,10.0,58.611000000000004,788.666,0,52.638999999999996,180.042,197,-6.5,13.75,32.433,38.917,59.977,-4,6.403,21,2.134,52.696000000000005,1.923,52.638999999999996,180.042,197
183,5.8359038055815,52.6609976732236,2018,3,4.0,9.304,34.145,22.648000000000003,-4.35,4,6.412999999999999,23.625999999999998,21,30.116999999999997,0.23600000000000002,2.114,48.137,178.209,1.901,3.748,10408.939,10.0,56.772,764.0269999999999,0,48.141999999999996,178.209,198,-6.5,13.182,31.018,37.345,57.559,-4,6.412999999999999,21,2.114,48.137,1.901,48.141999999999996,178.209,198
184,5.835981327140431,52.660921089790605,2018,3,4.0,9.362,35.085,18.84,-4.35,4,6.414,23.781999999999996,21,30.116999999999997,0.23399999999999999,2.12,50.653999999999996,181.24900000000002,1.903,3.807,10580.273000000001,10.0,59.815,805.2260000000001,0,50.645,181.24900000000002,199,-6.5,12.630999999999998,29.715999999999998,35.830999999999996,55.395,-4,6.414,21,2.12,50.653999999999996,1.903,50.645,181.24900000000002,199
185,5.8360589216963605,52.6608445066303,2018,3,4.0,9.31,32.895,22.858,-4.35,4,6.407,23.799,21,30.116999999999997,0.235,2.148,50.748000000000005,177.585,1.605,3.734,10376.632,10.0,56.155,756.49,0,50.773,177.585,200,-6.5,12.264000000000001,28.715999999999998,34.785,53.87,-4,6.407,21,2.148,50.748000000000005,1.605,50.773,177.585,200
186,5.8361364771257005,52.660767922115205,2018,3,4.0,9.391,31.732,18.78,-4.35,4,6.388,23.503,21,30.116999999999997,0.23600000000000002,2.1319999999999997,45.64,180.1,1.6640000000000001,3.784,10515.021999999999,10.0,58.667,789.154,0,45.688,180.1,201,-6.5,12.27,28.846,34.631,53.658,-4,6.388,21,2.1319999999999997,45.64,1.6640000000000001,45.688,180.1,201
