Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.8339081,52.6619778,-6.5,11.6,26.9,31.2,48.1,1,2,0
5.8339087,52.6619868,-6.5,11.6,26.9,31.2,48,1,2,0
5.8339093,52.6619957,-6.5,11.6,26.8,31.3,48.1,1,2,0
5.8339099,52.6620047,-6.5,11.7,26.9,31.5,48.4,2,2,0
5.8339105,52.6620137,-6.5,11.9,27.2,31.8,48.5,2,2,0
5.833911,52.6620227,-6.5,12.3,27.7,32.2,48.5,2,2,0
5.8339116,52.6620317,-6.6,12.7,28.3,32.5,48.5,2,2,0
5.8339122,52.6620406,-6.6,13,28.5,32.6,48.3,2,2,0
5.8339128,52.6620496,-6.6,13.4,28.8,32.8,48,2,2,0
5.8339134,52.6620586,-6.6,14,28.9,33,47.4,2,2,0
5.8339139,52.6620676,-6.6,14.5,29.3,33.1,47.1,2,2,0
5.8339145,52.6620766,-6.6,14.7,29.3,33.4,46.9,2,2,0
5.8339151,52.6620855,-6.6,14.7,29.5,33.6,47.1,2,2,0
5.8339157,52.6620945,-6.6,14.8,29.5,33.6,47.2,2,2,0
5.8339163,52.6621035,-6.6,14.8,29.5,33.9,47.4,2,2,0
5.8339168,52.6621125,-6.6,14.7,29.5,33.9,47.5,2,2,0
5.8339153,52.6618607,-6.5,11.2,25.7,31.8,48.9,1,2,0
5.8339159,52.6618697,-6.5,11.3,25.8,31.8,49.1,1,2,0
5.8339165,52.6618787,-6.5,11.2,26.2,31.7,49,1,2,0
5.8339171,52.6618876,-6.5,11.3,26.5,31.6,49,1,2,0
5.8339177,52.6618966,-6.5,11.4,26.7,31.5,49,1,2,0
5.8339182,52.6619056,-6.5,11.3,26.7,31.5,48.9,1,2,0
5.8339188,52.6619146,-6.5,11.3,26.7,31.4,48.9,1,2,0
5.8339194,52.6619236,-6.5,11.4,26.7,31.5,49.1,1,2,0
5.83392,52.6619325,-6.5,11.4,26.9,31.5,49.1,1,2,0
