Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.833925207,52.66201337,-6.5,11.7,26.9,31.7,48.4,2,2,0
5.833925747,52.66202232,-6.5,12.1,27.2,32,48.5,2,2,0
5.833926466,52.66203126,-6.6,12.3,27.7,32.2,48.5,2,2,0
5.833927006,52.66204032,-6.6,12.7,28,32.5,48.2,2,2,0
5.833927545,52.66204926,-6.6,13,28.5,32.6,48,2,2,0
5.833928085,52.66205821,-6.6,13.5,28.8,33,47.7,2,2,0
5.833928625,52.66206715,-6.6,14.1,28.9,33.1,47.5,2,2,0
5.833929344,52.66207621,-6.6,14.5,29.3,33.3,47.4,2,2,0
5.833929884,52.66208515,-6.6,14.7,29.4,33.5,47.3,2,2,0
5.833930423,52.66209421,-6.6,14.7,29.5,33.6,47.4,2,2,0
5.833930963,52.66210315,-6.6,14.7,29.5,33.9,47.4,2,2,0
5.833931682,52.6621121,-6.6,14.7,29.4,33.8,47.4,2,2,0
5.833932222,52.66212115,-6.6,14.5,29.4,33.7,47.4,2,2,0
5.833928984,52.66184243,-6.5,11.2,25.7,31.8,48.4,1,2,0
5.833929524,52.66185137,-6.5,11.2,25.7,31.8,48.7,1,2,0
5.833930064,52.66186043,-6.5,11.3,25.7,31.8,48.9,1,2,0
5.833930783,52.66186926,-6.5,11.3,25.8,31.8,48.9,1,2,0
5.833931323,52.66187832,-6.5,11.2,26,31.7,49,1,2,0
5.833931862,52.66188726,-6.5,11.3,26.4,31.7,49.1,1,2,0
5.833932402,52.66189632,-6.5,11.3,26.7,31.7,49.1,1,2,0
5.833932941,52.66190526,-6.5,11.4,26.8,31.7,49.1,1,2,0
5.833933661,52.66191421,-6.5,11.4,26.9,31.7,49.1,1,2,0
5.8339342,52.66192315,-6.5,11.5,27,31.7,49.2,1,2,0
5.83393474,52.66193221,-6.5,11.5,27,31.7,49.2,1,2,0
5.83393528,52.66194115,-6.5,11.6,27.1,31.7,49.2,1,2,0
5.833935819,52.6619501,-6.5,11.7,27.1,31.7,49.2,1,2,0
5.833936539,52.66195905,-6.5,11.6,27.1,31.6,49.2,1,2,0
5.833937078,52.6619681,-6.5,11.6,27.1,31.6,49.1,1,2,0
5.833937618,52.66197705,-6.5,11.6,27,31.5,48.9,1,2,0
5.833938157,52.6619861,-6.5,11.6,26.9,31.5,48.6,1,2,0
5.833938877,52.66199505,-6.5,11.6,26.7,31.5,48.5,1,2,0
5.833939416,52.66200399,-6.5,11.5,26.7,31.6,48.4,1,2,0
