X,Y,year,month,day,hr,min,sec,Hoogte,qual,speed(km/h,load(kg),tare(kg),conv.facto,beltspd(m/,workwidth(,yield(ton/,totalyield,point_weig,totalarea(,worktime(s,loadnr,loadweight,loadbelt(m,usertare(%,tarecorrec,tarecorre2,SampleID
5.83565981951493,52.6603793836282,2018,3,5,1.824,20.532,37.885,-4.34,4,6.412,23.172,21,30.117,0.236,2.25,37.831,22.95,1.465,0.496,1431.309,3,22.953,322.802,0,37.831,22.95,38
5.835582297956,52.6604559680103,2018,3,5,1.933,19.921,35.24,-4.35,4,6.405,23.306,21,30.117,0.236,2.25,40.324,26.027,1.659,0.559,1604.301,3,26.022,363.99,0,40.324,26.027,39
5.83550468646485,52.6605325522582,2018,3,5,1.676,25.643,35.247,-4.35,4,6.391,23.195,21,30.117,0.235,2.25,38.17,20.766,1.573,0.448,1300.882,3,20.759,292.15,0,38.17,20.766,40
5.83542707497372,52.6606091363719,2018,3,5,1.857,20.169,33.829,-4.35,4,6.384,23.32,21,30.117,0.236,2.25,40.464,23.835,1.717,0.513,1480.316,3,23.835,334.451,0,40.464,23.835,41
5.83534955341479,52.6606857203515,2018,3,5,1.972,19.283,30.429,-4.35,4,6.393,23.377,21,30.117,0.238,2.25,41.83,26.497,1.786,0.568,1630.717,3,26.496,370.327,0,41.83,26.497,42
5.83527203185586,52.6607623041969,2018,3,5,1.711,24.589,23.893,-4.35,4,6.335,23.488,21,30.117,0.234,2.25,43.591,21.209,1.752,0.457,1325.176,3,21.203,298.051,0,43.591,21.209,43
5.83519451029692,52.660838887908,2018,3,5,1.688,27.72,22.028,-4.35,4,6.255,23.54,21,30.117,0.234,2.25,45.244,21.824,1.827,0.47,1362.28,3,21.825,306.818,0,45.244,21.824,44
5.83511689880577,52.6609154714851,2018,3,5,1.826,29.642,24.853,-4.35,4,6.199,23.649,21,30.117,0.238,2.25,48.446,26.97,1.705,0.577,1657.073,3,26.966,376.701,0,48.446,26.97,45
5.83503928731465,52.6609920549279,2018,3,5,1.609,34.065,27.322,-4.35,4,6.065,23.414,21,30.117,0.236,2.25,45.077,22.865,1.607,0.49,1423.934,3,22.865,321.265,0,45.077,22.865,46
5.83496176575572,52.6610686382365,2018,3,5,1.481,38.79,29.597,-4.35,4,6.146,23.508,21,30.117,0.234,2.25,45.878,21.093,1.667,0.455,1319.085,3,21.098,296.691,0,45.878,21.093,47
5.83488424419678,52.661145221411,2018,3,5,1.743,27.538,27.626,-4.35,4,5.828,18.044,21,30.117,0.183,2.25,36.219,24.519,1.157,0.529,1523.765,3,24.513,344.153,0,36.219,24.519,48
5.83480663270563,52.6612218044513,2018,3,5,1.635,31.723,25.167,-4.35,4,6.386,19.105,21,30.117,0.191,2.25,36.192,23.599,1.718,0.508,1468.562,3,23.598,331.068,0,36.192,23.599,49
5.83472902121451,52.6612983873574,2018,3,5,1.603,34.026,32.755,-4.35,4,6.402,23.324,21,30.117,0.235,2.25,41.621,23.235,2.063,0.498,1443.482,3,23.239,325.838,0,41.621,23.235,50
5.83465149965558,52.6613749701293,2018,3,5,1.458,35.619,38.688,-4.35,4,6.402,23.668,21,30.117,0.234,2.25,46.487,19.733,2.015,0.43,1254.031,3,19.729,279.623,0,46.487,19.733,51
5.83457397809664,52.661451552767,2018,3,5,1.65,30.314,39.718,-4.35,4,6.399,23.879,21,30.117,0.235,2.25,50.028,23.071,1.871,0.496,1435.057,3,23.074,324.033,0,50.028,23.071,52
5.83449645653771,52.6615281352706,2018,3,5,1.652,32.669,33.657,-4.35,4,6.393,23.729,21,30.117,0.235,2.25,47.408,23.803,1.955,0.511,1477.528,3,23.803,333.908,0,47.408,23.803,53
5.83441893497878,52.6616047176399,2018,3,5,1.498,33.816,22.937,-4.35,4,6.392,23.769,21,30.117,0.235,2.25,48.178,19.818,1.974,0.431,1261.613,3,19.811,281.438,0,48.178,19.818,54
5.83434141341984,52.6616812998751,2018,3,5,1.61,32.444,30.211,-4.35,4,6.362,23.922,21,30.117,0.234,2.25,51.155,22.235,1.797,0.478,1390.688,3,22.237,313.309,0,51.155,22.235,55
5.8342638918609,52.6617578819762,2018,3,5,1.614,32.107,25.993,-4.35,4,6.323,23.707,21,30.117,0.236,2.25,47.85,22.552,2.015,0.486,1409.809,3,22.548,317.616,0,47.85,22.552,56
5.83418637030198,52.661834463943,2018,3,5,1.71,29.524,24.616,-4.35,4,6.305,23.678,21,30.117,0.238,2.25,48.067,24.088,1.675,0.519,1502.107,3,24.088,339.012,0,48.067,24.088,57
5.83410884874304,52.6619110457756,2018,3,5,1.495,33.873,22.541,-4.35,4,5.839,23.644,21,30.117,0.235,2.25,52.67,19.305,1.272,0.418,1227.002,3,19.305,274.179,0,52.67,19.305,58
5.83403132718411,52.6619876274741,2018,3,5,1.677,28.271,24.772,-4.35,4,4.301,22.757,21,30.117,0.235,2.25,51.067,22.684,0.639,0.487,1417.405,3,22.693,319.189,0,51.067,22.684,59
5.83395381595894,52.6620641542428,2018,3,4.901,2.87,26.211,20.052,-4.35,4,3.681,22.407,21,30.117,0.236,2.25,47.173,39.863,0.878,1.048,2957.661,3.693,33.823,517.121,0,47.173,39.863,60
5.83406087651525,52.6621575347138,2018,3,5,3,25.6,29.8,-4.35,4,2.34,21.06,21,30.117,0.262,1.802,36.58,49.92,1.678,1.064,3010.94,3,49.925,702.2,0,36.58,49.92,60
5.83408016037029,52.662111281543,2018,3,5,2.778,23.23,21.622,-4.35,4,3.134,21.704,21,30.117,0.252,2.051,37.517,44.849,1.376,0.953,2693.73,3,44.849,626.019,0,37.517,44.849,61
5.83415768192922,52.6620347000612,2018,3,5,2.888,22.557,27.424,-4.35,4,4.972,22.706,21,30.117,0.247,2.154,46.054,46.576,1.161,0.99,2795.553,3,46.571,650.201,0,46.054,46.576,62
5.83423520348815,52.6619581184452,2018,3,5,2.941,23.52,35.811,-4.35,4,6.141,23.543,21,30.117,0.258,2.149,52.284,47.998,1.459,1.02,2888.364,3,47.999,672.368,0,52.284,47.998,63
5.83431272504709,52.661881536695,2018,3,5,2.846,21.282,33.425,-4.35,4,6.381,23.854,21,30.117,0.241,2.149,53.338,45.013,1.756,0.955,2703.761,3,45,628.018,0,53.338,45.013,64
5.83439024660603,52.6618049548107,2018,3,5,2.827,23.716,34.251,-4.35,4,6.414,23.656,21,30.117,0.239,2.154,48.667,46.124,1.924,0.981,2775.665,3,46.127,645.282,0,48.667,46.124,65
5.83446776816496,52.6617283727921,2018,3,5,2.911,23.326,30.073,-4.35,4,6.405,23.613,21,30.117,0.238,2.165,47.201,47.336,1.939,1.007,2847.263,3,47.328,662.461,0,47.201,47.336,66
5.83454528972389,52.6616517906394,2018,3,5,2.846,23.182,26.579,-4.35,4,6.438,23.629,21,30.117,0.239,2.185,47.134,45.983,1.86,0.978,2767.912,3,45.979,643.418,0,47.134,45.983,67
5.83462281128283,52.6615752083525,2018,3,5,2.929,22.575,37.628,-4.35,4,6.379,23.69,21,30.117,0.239,2.129,49.795,47.46,1.785,1.01,2849.58,3,47.46,662.951,0,49.795,47.46,68
5.83470033284176,52.6614986259314,2018,3,5,2.9,23.451,30.683,-4.35,4,6.435,23.617,21,30.117,0.239,2.171,47.095,47.226,1.916,1.004,2841.064,3,47.222,660.935,0,47.095,47.226,69
5.83477785440069,52.6614220433762,2018,3,5,2.869,22.392,21.894,-4.35,4,6.41,23.62,21,30.117,0.239,2.153,47.938,46.084,1.862,0.979,2767.305,3,46.084,643.231,0,47.938,46.084,70
5.83485537595963,52.6613454606868,2018,3,5,2.95,22.567,21.908,-4.35,4,6.41,23.73,21,30.117,0.238,2.143,50.113,47.516,1.772,1.01,2854.733,3,47.506,664.209,0,50.113,47.516,71
5.83493298745075,52.6612688778631,2018,3,5,2.885,23.494,21.521,-4.35,4,6.415,23.481,21,30.117,0.239,2.105,45.964,47.033,1.715,1,2823.206,3,47.024,656.638,0,45.964,47.033,72
5.8350105989419,52.6611922949053,2018,3,5,2.797,23.123,34.79,-4.35,4,6.403,23.69,21,30.117,0.239,2.203,48.371,45.326,1.874,0.963,2725.157,3,45.327,633.086,0,48.371,45.326,73
5.83508812050083,52.6611157118134,2018,3,5,2.926,22.317,35.553,-4.35,4,6.399,23.355,21,30.117,0.239,2.153,42.832,47.136,1.86,1.003,2830.374,3,47.132,658.359,0,42.832,47.136,74
