Lat,Lon,Hoogte,EC 0.5m,EC 1m,EC 1.5m,EC 3m,Class_3,Class_5,Outlier
52.6612398,5.8350584,-6.6,12.1,28.1,34.1,53.0,2,4,0.0
52.6612488,5.8350589,-6.6,12.1,28.1,34.0,52.9,2,4,0.0
52.6612578,5.8350595,-6.6,12.1,28.1,34.0,52.9,2,4,0.0
52.6612668,5.8350601,-6.6,12.1,28.2,34.0,52.9,2,4,0.0
52.6612757,5.8350607,-6.6,12.1,28.2,34.0,53.0,2,4,0.0
52.6612847,5.8350613,-6.6,12.1,28.3,34.1,53.0,2,4,0.0
52.6612937,5.8350619,-6.6,12.1,28.3,34.3,53.2,2,4,0.0
52.6613027,5.8350624,-6.6,12.1,28.5,34.6,53.6,2,4,0.0
52.6613117,5.8350630,-6.6,12.3,28.9,35.1,54.1,2,4,0.0
52.6613206,5.8350636,-6.6,12.7,29.4,35.4,54.3,3,4,0.0
52.6613296,5.8350642,-6.6,12.8,29.5,35.4,54.5,3,4,0.0
52.6613386,5.8350648,-6.6,12.8,29.6,35.5,54.7,3,4,0.0
52.6613476,5.8350653,-6.6,12.8,29.7,35.5,54.9,3,4,0.0
52.6613565,5.8350659,-6.6,12.9,29.7,35.5,55.0,3,4,0.0
52.6613655,5.8350665,-6.6,12.8,29.7,35.5,55.0,3,4,0.0
52.6613745,5.8350671,-6.6,12.7,29.6,35.6,55.1,3,4,0.0
52.6613835,5.8350677,-6.6,12.7,29.7,35.6,54.9,3,4,0.0
52.6613925,5.8350682,-6.6,12.7,29.8,35.6,54.9,3,4,0.0
52.6614014,5.8350688,-6.6,12.8,29.9,35.5,54.9,3,4,0.0
52.6614104,5.8350694,-6.6,12.9,29.9,35.6,55.0,3,4,0.0
52.6614194,5.8350700,-6.6,12.9,30.0,35.7,55.1,3,4,0.0
52.6614284,5.8350706,-6.6,12.9,30.0,35.8,55.3,3,4,0.0
52.6614374,5.8350712,-6.6,12.8,29.9,35.9,55.4,3,4,0.0
